Date,Open,High,Low,Close,Volume
2/11/2011,1165.1,1229.7,1163.15,1221.7,1441279
2/14/2011,1207.1,1275.9,1207.1,1270.05,1310413
2/15/2011,1277.4,1288.3,1250.3,1274.8,1399151
2/16/2011,1265.15,1305,1265.15,1296.8,1648304
2/17/2011,1348.85,1348.85,1292.05,1317.5,1475778
2/18/2011,1318,1341.3,1290.05,1296.8,2099458
2/21/2011,1290,1313,1278,1306.95,1077947
2/22/2011,1271.3,1294,1258,1264.65,1025733
2/23/2011,1259.95,1279,1251.3,1255,939210
2/24/2011,1243,1251,1180,1190.35,2009530
2/25/2011,1205.9,1244,1193.75,1232.5,1679658
2/28/2011,1233,1293.3,1212,1218.55,1839901
3/1/2011,1235,1299,1233.45,1288.8,1411011
3/3/2011,1278,1320,1261.1,1309.8,2269095
3/4/2011,1324.4,1341,1313.15,1328.3,1629482
3/7/2011,1305,1310,1266,1283.4,1115941
3/8/2011,1286,1318,1283.1,1311.5,986796
3/9/2011,1317,1329.55,1292,1300.95,1333258
3/10/2011,1297.15,1297.15,1275,1285.05,694119
3/11/2011,1276,1297,1258.3,1265.7,1268319
3/14/2011,1266,1296.9,1266,1290.35,968755
3/15/2011,1253.35,1299.8,1245.7,1282.95,1490386
3/16/2011,1290,1325,1290,1318.6,1492511
3/17/2011,1300,1328.35,1286.3,1291.1,1689672
3/18/2011,1298,1300,1261.1,1269.2,1549179
3/21/2011,1288,1290,1261.1,1279.35,588554
3/22/2011,1288,1305,1278,1295.9,775686
3/23/2011,1295,1317.5,1291.35,1315.4,924235
3/24/2011,1318.2,1334.4,1307.55,1319.45,1208316
3/25/2011,1342.8,1369.9,1326.95,1364.95,1947999
3/28/2011,1370,1392.3,1365.05,1384.25,1456980
3/29/2011,1377.6,1431.75,1377.6,1422.15,2493596
3/30/2011,1426.9,1432.15,1413.55,1426.45,1174433
3/31/2011,1429,1443.55,1386.05,1403.85,2618567
4/1/2011,1410.3,1417,1378.6,1407.75,1069318
4/4/2011,1411.1,1441.9,1407,1432.1,1091468
4/5/2011,1448,1448,1409.1,1424.75,1007374
4/6/2011,1420,1441.7,1415,1428.95,1694291
4/7/2011,1430,1458,1416.7,1445.75,1257062
4/8/2011,1446,1460.45,1435.25,1449.7,1565244
4/11/2011,1437.2,1439.9,1403.95,1409.85,1577093
4/13/2011,1395,1445.9,1394.35,1438.3,1172077
4/15/2011,1426.05,1457.9,1421.6,1429.9,1382505
4/18/2011,1430,1450,1384.4,1389.8,1421665
4/19/2011,1384,1416.8,1382.2,1409.35,861105
4/20/2011,1422,1452.8,1415,1448,756970
4/21/2011,1449,1457.8,1438.65,1447.55,984845
4/25/2011,1398,1408.5,1371,1377.3,4101749
4/26/2011,1387.8,1387.8,1338.65,1356.35,2818608
4/27/2011,1371.2,1372,1333,1343.85,1927097
4/28/2011,1354.9,1354.9,1324.1,1333.7,2127035
4/29/2011,1338,1342.8,1270.3,1286.6,3098248
5/2/2011,1297.9,1298,1260.1,1276.45,1873540
5/3/2011,1273.7,1295.5,1210.55,1230.4,4423229
5/4/2011,1229.5,1249,1215,1235.6,2835837
5/5/2011,1239.9,1249,1202.65,1209.85,1652077
5/6/2011,1212,1264.9,1212,1258.2,2316334
5/6/2011,1212,1264.9,1212,1258.2,2316334
5/9/2011,1260.1,1268.55,1231.25,1237.75,1015377
5/10/2011,1239.95,1242.5,1218,1228.7,1482566
5/11/2011,1225,1244.75,1224,1228.25,1655062
5/12/2011,1223,1239.85,1201,1205.65,1302309
5/13/2011,1210.5,1259.8,1208.65,1244.7,2002243
5/16/2011,1241.6,1241.6,1218.2,1224.4,793289
5/17/2011,1226.1,1241.5,1206.55,1219.4,1143355
5/18/2011,1223,1232,1202.2,1217.95,1296354
5/19/2011,1230,1230,1207.15,1214.65,707675
5/20/2011,1224,1231.5,1208,1220.9,1253819
5/23/2011,1215,1218.05,1183,1188,1519123
5/24/2011,1195,1215,1186.5,1202.4,1259326
5/25/2011,1203.9,1203.9,1175,1181.65,1327550
5/26/2011,1194.5,1212,1184.5,1208.4,1261162
5/27/2011,1214.95,1228,1206.25,1220.6,1634164
5/30/2011,1224,1248,1224,1245.25,1199619
5/31/2011,1251.9,1289,1251,1282.5,2182281
6/1/2011,1282.25,1291.75,1265.2,1278.25,792282
6/2/2011,1255.1,1285,1255.1,1273.75,867797
6/3/2011,1272,1288,1224,1242.75,1413508
6/6/2011,1242,1242,1208.15,1235.45,1886949
6/7/2011,1227,1252.9,1224.75,1244.65,1043816
6/8/2011,1230.9,1236,1217.15,1228.75,1382341
6/9/2011,1229.9,1252.15,1229,1246.4,1049055
6/10/2011,1242,1246,1225,1235.15,812045
6/13/2011,1230.2,1238,1217,1233.3,1111075
6/14/2011,1235,1264.2,1235,1260.05,1054703
6/15/2011,1259.7,1260,1221,1224.4,1256065
