Date,Open,High,Low,Close,Volume
2011-04-06,3279,3299,3252.05,3275.15,845865
2011-04-07,3261.9,3261.9,3237.7,3245.9,475036
2011-04-08,3242,3264.65,3207.45,3227.3,604116
2011-04-11,3195.3,3261.8,3181,3241.6,1000008
2011-04-13,3211,3317.1,3196,3306.2,1383613
2011-04-15,3296.15,3298.6,2977.5,2989.5,10127467
2011-04-18,2919,2967,2880,2906.1,5135839
2011-04-19,2906,2927,2881,2887.35,2401329
2011-04-20,2919,2927.9,2891,2907.3,2243732
2011-04-21,2918.7,2940.5,2901.1,2910,2994212
2011-04-25,2915,2963.95,2907.4,2941.3,1940905
2011-04-26,2935,2954.95,2920,2942.35,2278860
2011-04-27,2945,2964.65,2942.5,2953.15,1247666
2011-04-28,2949,2958,2921,2929.15,2927413
2011-04-29,2910,2929,2887.95,2906.25,2031792
2011-05-02,2919.05,2944,2910,2922.55,1683523
2011-05-03,2920,2957.15,2899.95,2911.05,1654255
2011-05-04,2901,2905,2842.75,2869.75,2115550
2011-05-05,2867.3,2878.9,2837,2848.5,1582654
2011-05-06,2857.9,2910,2848,2893,1491333
2011-05-06,2857.9,2910,2848,2893,1491333
2011-05-09,2910,2917,2867.5,2908.55,617275
2011-05-10,2907.7,2924.9,2872,2880.05,609171
2011-05-11,2882,2924,2879.95,2906.05,801259
2011-05-12,2897.9,2909,2872,2881.25,624560
2011-05-13,2883.2,2912,2871.25,2878.35,1035292
2011-05-16,2876,2876,2842.35,2850.4,808671
2011-05-17,2848.4,2877.3,2823.95,2844.15,946309
2011-05-18,2850,2882.35,2803,2842.5,1272062
2011-05-19,2859.7,2859.7,2835.6,2846.45,931995
2011-05-20,2845,2863.7,2832.15,2849.85,1002959
2011-05-23,2847.85,2852.8,2827.85,2837.05,847360
2011-05-24,2833,2863.85,2833,2844.5,953183
2011-05-25,2827.7,2827.7,2756.6,2788.65,1384427
2011-05-26,2794,2797.75,2758,2776.55,1059522
2011-05-27,2760,2807,2760,2787.5,783118
2011-05-30,2806.1,2806.1,2761,2780.6,858419
2011-05-31,2793,2818,2776.55,2785.65,2551326
2011-06-01,2794,2824,2784,2811.55,1013233
2011-06-02,2780,2820,2777,2803.05,889661
2011-06-03,2811,2842.8,2810.9,2816.2,786673
2011-06-06,2822,2845.95,2795.15,2837.9,471158
2011-06-07,2830.05,2904,2830.05,2892.55,997333
2011-06-08,2889,2892.2,2867.25,2871.7,743246
2011-06-09,2881.5,2881.5,2854.55,2861.5,527702
2011-06-10,2868.5,2880.8,2851.2,2862.35,898408
2011-06-13,2848.5,2882.2,2819.7,2877.6,966648
2011-06-14,2877.8,2883.5,2864.75,2872.3,983763
2011-06-15,2861.75,2861.75,2826.9,2835.6,916985
2011-06-16,2829,2829,2795.05,2800.3,953620
2011-06-17,2800.1,2803.35,2731.3,2769.65,1065646
2011-06-20,2768.3,2779.75,2652.5,2709.55,1557269
2011-06-21,2723,2755,2693.3,2727.15,942852
2011-06-22,2753,2781.7,2742.1,2755.05,703125
2011-06-23,2750,2789.1,2735.5,2779.1,519846
2011-06-24,2791,2877.7,2791,2859.95,1402411
2011-06-27,2831.65,2923,2820.25,2871.05,1340537
